text,label
No me importa una mierda lo que pienses.,1
Este trabajo es una maldita cagada.,1
No seas tan cabrón conmigo.,1
Estoy harto de esta puta situación.,1
El partido de ayer fue una hostia para el equipo local.,0
No me gusta cómo huele este puto lugar.,1
¿Quién coño se cree que es?,1
No quiero oír más mierda de tu boca.,1
Este café está del carajo.,0
ERES UN arbol de navidad',0
Eres una buena persona.,0
Me encanta la música de ese maricón.,1
No me gusta la mierda de tu música.,1
No tengo tiempo para tus putos problemas.,1
No me digas qué cojones hacer.,1
Este hotel es una mierda.,1
Eres un huevón por no haber venido a la fiesta.,1
Este trabajo es una jodida tortura.,1
Estoy harto de tus mamadas.,1
No seas un malparido y ayúdame.,1
La música de esta banda es una maldita mierda.,1
No me gustan tus pendejadas.,1
Este es el peor restaurante de la ciudad.,1
Mi perro es el mejor compañero.,0
Estoy cansado de esta puta lluvia.,1
El sol brilla en el cielo azul.,0
No me importa una mierda lo que digas.,1
La ensalada de este restaurante es deliciosa.,0
Este trabajo es una maldita pesadilla.,1
Disfruto de caminar por el parque en la tarde.,0
No seas tan cabrón y ayúdame.,1
La cena de ayer fue espectacular.,0
La música de esta banda es una maldita basura.,1
No te hagas el pendejo sabes lo que hiciste.,1
Este bar es un asco.,1
El examen de matemáticas fue una jodida pesadilla.,1
Me importa una mierda lo que pienses de mí.,1
No seas tan malparido y ayúdame.,1
Me encanta el sabor de la maldita cerveza.,1
Este clima es una puta locura.,1
¿Por qué eres tan jodidamente egoísta?,1
La cena de anoche fue una mierda.,1
No seas un cabrón y déjame en paz.,1
Me cago en la hostia  ¿por qué me hiciste esto?,1
Mi jefe es un maldito idiota.,1
No me hables con esa puta actitud.,1
Este libro es una mierda aburrida.,1
¿Por qué coño no me contestas?,1
Estoy harto de tus putas mentiras.,1
El partido de ayer fue una jodida vergüenza.,1
No me gusta cómo huele tu puto perfume.,1
No seas un malparido y paga lo que debes.,1
Esta ciudad es una mierda quiero irme.,1
El sol brilla en el cielo azul.,0
No puedo soportar el ruido de esa puta construcción.,1
Mi comida favorita es la pizza.,0
No seas un puto cobarde y enfrenta tus problemas.,1
La música de este artista es increíble.,0
Este trabajo es una jodida tortura.,1
Estoy emocionado por mi próximo viaje.,0
